"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLO","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*06mfy*","Luke Woolfenden","IPS","D","365","FA","WHU 3<br/>@IPS 1 F","59.24","3.95","0%","0%","15","12","1,184","0","0","0","0","0","0","0","6","0","0","2","2","0","0","19","4","1","76","0","14","15","0","0","0","28","90"
"*06mg7*","Conor Chaplin","IPS","F","366","FA","WHU 3<br/>@IPS 1 F","58.75","2.67","0%","0%","22","10","835","1","1","0","8","1","4","0","5","0","5","7","2","0","2","4","0","0","3","4","1","3","0","0","0","19","4"
"*03dxq*","Danny Ings","WHU","F","367","FA","WHU 3<br/>@IPS 1 F","58.75","3.92","0%","0%","15","1","256","1","2","0","6","1","5","0","2","0","6","2","0","0","0","1","0","0","4","4","0","8","0","1","0","4","36"
"*06635*","Oliver Scarles","WHU","D","368","FA","WHU 3<br/>@IPS 1 F","58.57","3.9","1%","0%","15","7","652","0","0","0","2","0","0","0","11","0","3","3","1","0","1","11","1","1","20","2","2","6","0","0","0","9","155"
"*04fk8*","Victor Lindelof","MUN","D","369","FA","AVL 0<br/>@MUN 2 F","58.55","3.66","1%","0%","16","6","690","0","0","0","3","0","0","0","2","0","1","1","1","0","1","8","0","0","36","0","4","17","0","0","0","9","256"
"*043c1*","Oleksandr Zinchenko","ARS","D","370","thomas","ARS 2<br/>@SOU 1 F","57.17","3.81","1%","0%","15","5","509","0","1","0","3","0","0","0","1","0","4","3","1","0","3","5","0","0","9","3","1","12","0","0","0","1","269"
"*061vb*","James Hill","BOU","D","371","FA","LEI 0<br/>@BOU 2 F","57.16","5.72","68%","0%","10","6","440","0","1","0","3","0","0","0","8","0","0","5","1","0","0","9","0","0","31","1","0","15","0","0","0","9","70"
"*052cd*","Mason Mount","MUN","M","372","FA","AVL 0<br/>@MUN 2 F","56.94","3.35","17%","0%","17","8","605","1","0","0","8","0","9","0","5","0","9","9","3","0","2","4","0","0","4","1","1","4","0","0","0","11","152"
"*067x8*","Nico O'Reilly","MCI","M","373","CC FC","MCI 2<br/>@FUL 0 F","56.8","6.31","85%","0%","9","6","522","2","0","0","4","0","3","0","4","0","15","4","0","0","1","4","0","0","10","9","1","6","0","0","0","3","342"
"*04ug0*","Sean Longstaff","NEW","M","374","FA","EVE 1<br/>@NEW 0 F","56.73","2.27","12%","0%","25","8","767","0","0","0","4","1","1","1","16","0","7","6","2","0","0","7","1","0","8","2","5","9","0","0","0","11","291"
"*06p7o*","Ramon Sosa","NOT","F","375","FA","CHE 1<br/>@NOT 0 F","56.25","2.96","0%","0%","19","1","264","1","0","0","8","0","5","0","3","0","5","8","1","0","3","4","0","0","4","8","0","4","0","0","0","5","81"
"*05749*","Kieran Tierney","ARS","D","377","Will","ARS 2<br/>@SOU 1 F","55.65","4.28","0%","0%","13","2","242","1","0","0","8","0","1","0","5","0","0","2","0","0","2","3","0","0","9","2","0","6","0","0","0","1","66"
"*06fxu*","Ibrahim Sangare","NOT","M","378","FA","CHE 1<br/>@NOT 0 F","54.93","4.23","7%","-1%","13","7","578","0","1","0","5","0","1","0","14","0","4","8","3","0","2","6","1","0","13","0","4","10","0","0","0","6","84"
"*06phe*","Ferdi Kadioglu","BHA","M","379","FA","BHA 4<br/>@TOT 1 F","53.74","8.96","63%","+1%","6","5","384","1","0","0","5","0","1","0","6","0","2","3","1","0","4","8","1","0","17","3","2","3","0","0","0","8","112"
"*03sbh*","Enes Unal","BOU","F","380","FA","LEI 0<br/>@BOU 2 F","53","3.12","0%","0%","17","2","314","2","1","0","4","0","7","0","0","0","13","9","2","0","0","0","0","0","6","1","0","24","0","0","0","3","109"
"*04rd0*","Bobby De Cordova-Reid","LEI","F","381","FA","LEI 0<br/>@BOU 2 F","52.5","2.28","0%","0%","23","9","725","1","2","0","6","2","3","0","4","0","10","9","2","0","0","0","0","0","10","0","1","6","0","1","0","17","7"
"*03v6t*","Ben Chilwell","CHE/CRY","D","382","RyRob","CRY 1<br/>@LIV 1 F","52.31","6.54","0%","0%","8","1","248","1","0","0","5","0","3","0","6","0","2","3","1","0","2","6","0","0","11","2","2","3","0","0","0","4","46"
"*06mx0*","Leny Yoro","MUN","D","383","FA","AVL 0<br/>@MUN 2 F","52.31","2.49","15%","-1%","21","12","1,149","0","0","0","2","0","1","0","11","1","4","2","5","0","1","18","2","0","43","2","3","16","0","0","0","24","121"
"*05uhs*","James Mcatee","MCI","M","385","Brad","MCI 2<br/>@FUL 0 F","51.64","3.44","3%","-1%","15","3","331","3","0","0","3","0","4","0","2","0","1","3","1","0","2","2","0","0","1","2","0","2","0","0","0","6","125"
"*06fhy*","Wilson Odobert","TOT","F","386","Brad","BHA 4<br/>@TOT 1 F","51.25","3.2","5%","0%","16","9","837","1","0","0","6","0","4","0","5","0","17","3","0","0","4","4","0","0","5","12","0","4","0","0","0","20","67"
"*04t95*","Oliver Skipp","TOT/LEI","M","387","FA","LEI 0<br/>@BOU 2 F","50.99","2.12","0%","0%","24","10","1,103","0","0","0","9","0","1","0","4","0","7","13","8","0","0","11","1","0","10","7","7","12","0","0","0","26","179"
"*03r93*","Joseph Gomez","LIV","D","388","FA","CRY 1<br/>@LIV 1 F","50.39","5.6","3%","+1%","9","6","516","0","0","0","2","0","2","0","10","0","2","3","1","0","1","7","2","0","19","0","6","9","0","0","0","8","126"
"*052k8*","Tommy Doyle","WOL","M","389","FA","BRF 1<br/>@WOL 1 F","49.92","2.08","0%","0%","24","3","459","0","1","0","7","0","2","0","6","0","4","5","1","0","0","5","0","0","11","5","5","1","0","0","0","10","38"
"*02yl5*","John Stones","MCI","D","390","FA","MCI 2<br/>@FUL 0 F","49.56","4.51","4%","0%","11","6","540","2","0","0","2","0","2","0","2","1","0","2","1","0","0","4","1","0","18","2","3","8","0","0","0","11","91"
"*06r5c*","Welington Damascena Santos","SOU","D","391","FA","ARS 2<br/>@SOU 1 F","48.54","4.85","0%","0%","10","6","475","0","0","0","3","0","0","0","9","0","4","8","1","0","4","6","1","0","33","5","1","5","0","0","0","10","87"
"*06rm7*","Nico Gonzalez","MCI","M","392","FA","MCI 2<br/>@FUL 0 F","48.42","4.4","19%","-3%","11","9","758","1","0","0","1","1","2","2","6","0","11","5","3","0","0","8","0","0","21","1","0","16","0","0","0","7","421"
"*03297*","Conor Townsend","IPS","D","393","FA","WHU 3<br/>@IPS 1 F","47.25","7.88","0%","0%","6","3","333","0","1","0","4","0","0","0","8","0","2","4","1","0","2","4","1","0","14","0","6","6","0","0","0","6","0"
"*05w91*","Hwang Hee-Chan","WOL","F","394","FA","BRF 1<br/>@WOL 1 F","46.5","2.21","3%","0%","21","5","632","2","0","0","3","1","3","0","4","0","10","9","0","0","2","2","0","0","10","2","0","3","0","0","0","19","40"
"*02ln2*","Jonny Evans","MUN","D","395","FA","AVL 0<br/>@MUN 2 F","44.49","6.36","0%","0%","7","3","308","0","0","0","0","0","1","0","6","0","0","6","1","0","0","5","0","0","15","1","2","10","0","0","0","2","165"
"*05u4m*","Patson Daka","LEI","F","396","FA","LEI 0<br/>@BOU 2 F","44.25","1.92","0%","0%","23","6","700","1","0","0","1","0","4","0","10","0","12","19","0","0","0","1","0","0","11","2","1","12","0","0","0","16","13"
"*06eka*","Igor Julio","BHA","D","397","FA","BHA 4<br/>@TOT 1 F","43.24","3.33","0%","0%","13","10","956","0","0","0","2","0","0","0","5","0","0","6","4","0","1","4","2","0","38","5","14","8","0","0","0","17","90"
"*02lkp*","Raheem Sterling","CHE/ARS","F","398","TRB","ARS 2<br/>@SOU 1 F","42.75","2.51","1%","0%","17","7","481","0","2","0","8","0","0","0","4","0","14","8","1","0","3","1","0","0","3","10","0","1","0","0","0","4","111"
"*06r9h*","Romain Esse","CRY","M","403","FA","CRY 1<br/>@LIV 1 F","40.13","5.73","3%","0%","7","1","129","1","1","0","3","1","1","0","6","0","2","3","0","0","0","1","0","0","1","2","0","3","0","0","0","3","12"
"*06mpc*","Nathan Wood","SOU","D","404","FA","ARS 2<br/>@SOU 1 F","39.74","3.61","0%","0%","11","9","769","0","0","0","1","0","0","0","8","2","1","4","2","0","0","5","0","1","38","4","6","15","0","0","0","20","90"
"*02lp9*","Kyle Walker","MCI","D","405","FA","MCI 2<br/>@FUL 0 F","39.51","2.63","11%","0%","15","9","962","0","0","0","7","0","2","0","10","1","2","5","3","0","4","3","0","0","11","3","4","9","0","0","0","21","64"
"*02y6o*","Nathan Ake","MCI","D","406","FA","MCI 2<br/>@FUL 0 F","39.21","3.92","24%","+1%","10","8","675","0","0","0","1","0","0","0","7","2","3","0","0","0","0","3","1","1","22","1","2","13","0","0","0","11","157"
"*05ts6*","Yerson Mosquera","WOL","D","407","FA","BRF 1<br/>@WOL 1 F","38.75","7.75","3%","0%","5","5","441","0","0","0","2","0","0","1","7","0","1","7","2","0","1","10","0","1","14","0","10","11","0","0","0","12","0"
"*02opy*","Adam Lallana","SOU","M","408","FA","ARS 2<br/>@SOU 1 F","38.75","2.77","0%","0%","14","5","343","0","2","0","4","0","0","0","5","0","6","8","4","0","3","5","2","0","5","5","1","2","0","0","0","8","45"
"*05yct*","Nathan Patterson","EVE","D","409","FA","EVE 1<br/>@NEW 0 F","38.61","3.86","1%","0%","10","3","337","0","1","0","4","0","0","0","6","0","2","1","1","0","5","2","0","0","5","9","0","1","0","0","0","6","28"
"*06ab3*","Lewis Miley","NEW","M","410","FA","EVE 1<br/>@NEW 0 F","38.57","2.75","13%","-13%","14","1","294","1","0","0","1","0","2","0","11","0","1","1","0","0","0","2","0","0","5","1","1","6","0","0","0","4","96"
"*02m4d*","Craig Dawson","WOL","D","411","FA","BRF 1<br/>@WOL 1 F","38.46","2.56","0%","0%","15","10","965","0","0","0","2","1","1","0","3","1","0","5","2","0","0","9","0","0","51","1","11","21","0","0","2","25","97"
"*061v9*","Diego Carlos","AVL","D","412","FA","AVL 0<br/>@MUN 2 F","37.62","3.76","0%","0%","10","8","826","0","0","0","0","0","1","0","3","0","2","1","1","0","0","5","3","0","35","2","7","11","0","0","0","15","167"
"*062ot*","Cheick Doucoure","CRY","M","413","FA","CRY 1<br/>@LIV 1 F","36.42","2.8","1%","0%","13","4","434","0","0","0","1","1","0","0","8","0","7","7","1","0","0","11","0","0","10","2","0","5","0","0","0","6","150"
"*05vyj*","Evan Ferguson","BHA/WHU","F","414","FA","WHU 3<br/>@IPS 1 F","35.75","1.7","94%","0%","21","3","369","1","0","0","5","0","3","0","4","0","11","3","0","0","0","1","0","0","5","4","2","9","0","0","0","9","86"
"*04f67*","Philip Billing","BOU","M","415","FA","LEI 0<br/>@BOU 2 F","34.43","3.44","0%","0%","10","1","166","0","0","0","8","0","1","0","5","0","4","2","1","0","2","5","0","0","2","1","0","6","0","0","0","4","39"
"*05y7i*","Jarell Quansah","LIV","D","416","FA","CRY 1<br/>@LIV 1 F","33.64","2.59","0%","0%","13","4","483","0","0","0","2","0","0","0","8","2","2","1","2","0","0","7","1","0","27","1","7","7","0","0","1","12","126"
"*06l4i*","Tyrique George","CHE","F","417","FA","CHE 1<br/>@NOT 0 F","33.5","4.19","2%","0%","8","1","171","1","1","0","6","0","1","0","0","0","0","0","1","0","1","2","0","0","1","3","0","0","0","0","0","0","118"
"*06r9w*","Abdukodir Khusanov","MCI","D","418","FA","MCI 2<br/>@FUL 0 F","33.49","5.58","56%","-7%","6","6","503","0","0","0","2","0","0","0","4","1","1","3","1","0","0","3","0","0","28","0","4","7","0","0","1","6","180"
"*06fso*","Wataru Endo","LIV","M","419","FA","CRY 1<br/>@LIV 1 F","33.48","1.67","1%","0%","20","1","246","0","0","0","2","0","0","0","8","0","3","7","0","0","0","6","1","1","8","2","1","3","0","0","0","5","66"
"*04qfy*","Ricardo Pereira","LEI","D","420","FA","LEI 0<br/>@BOU 2 F","31.91","3.19","0%","0%","10","4","376","0","0","0","0","0","1","0","8","0","1","8","1","0","0","4","0","1","11","6","3","4","0","0","0","8","25"
"*04rzl*","Taiwo Awoniyi","NOT","F","421","FA","CHE 1<br/>@NOT 0 F","31.25","1.2","20%","+1%","26","3","379","1","0","0","2","0","4","0","3","0","19","10","0","0","0","0","0","0","7","4","0","14","0","0","0","10","144"
"*051k5*","Lloyd Kelly","NEW","D","422","FA","EVE 1<br/>@NEW 0 F","30.58","3.06","0%","0%","10","4","296","0","1","0","2","0","0","0","4","1","2","5","2","0","1","1","0","0","15","2","4","7","0","0","0","6","20"
"*06804*","Benoit Badiashile","CHE","D","423","FA","CHE 1<br/>@NOT 0 F","27.68","5.54","1%","0%","5","3","330","0","0","0","0","0","0","0","6","0","0","2","0","0","0","6","1","0","12","0","2","8","0","0","0","5","29"
"*0649i*","Antony","MUN","M","424","FA","AVL 0<br/>@MUN 2 F","27.53","3.44","0%","0%","8","0","129","0","0","0","3","0","3","0","3","0","1","5","0","0","3","2","0","0","0","4","0","0","0","0","0","2","25"
"*06kqy*","Ayden Heaven","ARS/MUN","D","425","FA","AVL 0<br/>@MUN 2 F","27.41","6.85","4%","-2%","4","2","168","0","0","0","1","0","0","0","3","1","1","4","1","0","0","4","1","0","8","2","2","2","0","0","0","1","115"
"*05s00*","Daniel Jebbison","BOU","F","426","FA","LEI 0<br/>@BOU 2 F","27","1.69","0%","0%","16","0","92","1","0","0","3","0","2","0","3","0","5","4","1","0","0","1","0","0","1","4","1","3","0","0","0","2","27"
"*05gcc*","Kiernan Dewsbury-Hall","CHE","M","427","FA","CHE 1<br/>@NOT 0 F","26.99","2.08","86%","0%","13","2","249","0","1","0","3","0","0","0","5","0","3","6","0","0","0","2","0","0","7","2","0","0","0","0","0","3","89"
"*06crn*","Toby Collyer","MUN","M","428","FA","AVL 0<br/>@MUN 2 F","26.82","4.47","0%","0%","6","0","170","0","0","0","2","0","0","0","9","0","1","4","0","0","0","2","1","1","3","1","1","3","0","0","0","2","51"
"*06lox*","Mikey Moore","TOT","M","429","FA","BHA 4<br/>@TOT 1 F","26.39","2.64","1%","0%","10","3","352","0","1","0","3","1","1","0","1","0","6","7","0","0","1","1","0","0","5","2","0","1","0","0","0","5","58"
"*05746*","Emil Krafth","NEW","D","430","FA","EVE 1<br/>@NEW 0 F","26.33","2.19","0%","0%","12","2","327","0","0","0","1","0","0","0","2","0","2","2","2","0","1","2","0","0","16","0","4","8","0","0","0","2","95"
"*06mgm*","Ross Stewart","SOU","F","431","FA","ARS 2<br/>@SOU 1 F","25.75","2.15","0%","0%","12","4","375","1","0","0","0","0","2","0","4","0","9","7","1","0","0","1","0","0","6","3","0","13","0","0","0","9","1"
"*04fyc*","Charlie Taylor","SOU","D","434","FA","ARS 2<br/>@SOU 1 F","24.5","3.06","0%","0%","8","3","350","0","0","0","1","0","0","0","5","0","1","3","1","0","1","5","2","0","30","2","5","6","0","0","0","12","0"
"*05t6x*","William Osula","NEW","F","435","FA","EVE 1<br/>@NEW 0 F","23.5","1.68","45%","+3%","14","0","115","1","0","0","2","0","1","0","0","0","6","1","0","0","0","4","0","0","1","3","0","6","0","0","0","3","57"
"*037mo*","Willian","FUL","F","436","FA","MCI 2<br/>@FUL 0 F","22.75","2.27","0%","0%","10","2","244","0","0","0","7","0","0","1","2","0","1","0","0","0","3","1","0","0","1","1","0","1","0","0","0","3","86"
"*06mgp*","Luis Guilherme","WHU","F","437","FA","WHU 3<br/>@IPS 1 F","22.25","1.85","0%","0%","12","1","128","0","0","0","3","0","1","0","0","0","3","4","0","0","2","3","0","0","1","7","0","2","0","0","0","5","6"
"*06r9v*","Andres Garcia","AVL","F","438","FA","AVL 0<br/>@MUN 2 F","21.75","3.11","0%","0%","7","5","314","0","0","0","3","0","0","0","5","0","6","0","0","0","5","2","0","0","8","5","0","0","0","0","0","5","4"
"*05gvx*","Armando Broja","CHE/EVE","F","439","FA","EVE 1<br/>@NEW 0 F","21","2.1","2%","0%","10","4","321","0","0","0","4","0","0","0","1","0","13","4","1","0","0","1","0","0","4","8","0","18","0","0","0","2","92"
"*02t1k*","Nathaniel Clyne","CRY","D","442","FA","CRY 1<br/>@LIV 1 F","19.8","1.52","1%","0%","13","5","471","0","0","0","3","0","0","0","8","0","2","2","1","0","3","3","0","0","13","0","2","1","0","0","0","11","12"
"*04s8k*","Jorginho","ARS","M","444","FA","ARS 2<br/>@SOU 1 F","18.99","1.27","0%","0%","15","9","692","0","0","0","3","0","0","0","4","0","9","17","5","0","0","7","0","0","2","1","0","2","0","0","0","7","247"
"*02lv9*","James Milner","BHA","M","445","FA","BHA 4<br/>@TOT 1 F","18.9","4.72","1%","0%","4","3","170","0","0","0","4","0","1","0","2","0","0","1","1","0","1","2","0","0","2","1","2","0","0","0","0","1","81"
"*02oq6*","Luke Shaw","MUN","D","446","FA","AVL 0<br/>@MUN 2 F","18.7","2.67","54%","+3%","7","4","343","0","0","1","5","0","0","0","3","0","0","1","1","0","1","2","0","0","7","0","1","3","0","0","1","5","33"
"*04qr0*","Willy Boly","NOT","D","447","FA","CHE 1<br/>@NOT 0 F","18.53","3.09","0%","0%","6","1","143","0","0","0","0","0","1","0","1","0","0","0","1","0","0","3","0","0","12","0","2","6","0","0","0","1","38"
"*06nyw*","Jorge Cuenca","FUL","D","448","FA","MCI 2<br/>@FUL 0 F","18.5","2.31","1%","0%","8","4","349","0","0","0","0","0","0","0","2","0","0","2","0","0","0","2","0","0","26","2","4","6","0","0","0","8","0"
"*05ohc*","Sergio Reguilon","TOT","D","449","FA","BHA 4<br/>@TOT 1 F","18.5","4.62","0%","0%","4","1","192","0","0","0","1","0","0","0","3","0","1","6","2","0","2","4","1","0","6","2","0","5","0","0","0","3","0"
"*06mn0*","Igor Thiago","BRF","F","452","FA","BRF 1<br/>@WOL 1 F","18","2.25","99%","0%","8","1","160","0","0","0","2","0","0","0","3","0","2","3","0","0","0","2","1","0","3","3","0","7","0","0","0","4","21"
"*04lax*","Hamza Choudhury","LEI","M","451","FA","LEI 0<br/>@BOU 2 F","18","4.5","0%","0%","4","1","126","0","0","0","2","0","0","0","1","0","0","0","0","0","1","5","0","0","2","3","2","0","0","0","0","5","0"
"*06jh3*","Joshua King","FUL","M","453","FA","MCI 2<br/>@FUL 0 F","17.94","2.24","4%","0%","8","1","121","0","0","0","3","0","0","0","5","0","6","2","0","0","1","1","0","0","1","4","0","1","0","0","0","0","62"
"*05r4h*","Lamare Bogarde","AVL","D","454","FA","AVL 0<br/>@MUN 2 F","17","2.12","1%","0%","8","5","470","0","0","0","2","0","1","0","6","0","8","11","2","0","0","1","1","0","12","2","3","6","0","0","0","11","0"
"*06igk*","Ben Brereton","SOU","F","455","FA","ARS 2<br/>@SOU 1 F","17","1.7","0%","0%","10","4","442","0","0","0","3","0","1","0","2","0","4","8","1","0","1","0","0","0","4","1","1","9","0","0","0","10","0"
"*06p4l*","Julian Araujo","BOU","D","456","FA","LEI 0<br/>@BOU 2 F","16.83","1.4","0%","0%","12","7","486","0","0","0","1","0","0","0","5","0","2","2","2","0","2","6","1","0","16","0","0","3","0","0","0","10","50"
"*06exa*","Matheus Franca","CRY","F","457","FA","CRY 1<br/>@LIV 1 F","16.75","4.19","0%","0%","4","0","49","1","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0"
"*068a3*","Danilo","NOT","M","458","FA","CHE 1<br/>@NOT 0 F","16.43","2.05","0%","0%","8","5","268","0","0","0","0","0","0","0","4","0","0","0","0","0","0","4","0","0","2","3","1","1","0","0","0","4","129"
"*03dx7*","Ben Mee","BRF","D","459","FA","BRF 1<br/>@WOL 1 F","15.13","2.16","0%","0%","7","2","177","0","0","0","0","0","0","0","2","0","0","0","2","0","0","4","1","0","7","0","3","5","0","0","0","4","77"
"*04yo6*","Miguel Almiron","NEW","M","460","FA","EVE 1<br/>@NEW 0 F","14.6","1.62","0%","0%","9","1","144","0","0","0","3","0","2","0","2","0","2","3","0","0","0","0","0","0","0","1","0","0","0","0","0","3","54"
"*04e1k*","Solly March","BHA","M","461","FA","BHA 4<br/>@TOT 1 F","14.51","1.81","1%","0%","8","1","155","0","0","0","3","0","0","0","3","0","1","2","2","0","4","2","0","0","1","1","0","1","0","0","0","3","1"
"*067xc*","Carlos Borges","MCI/WOL","F","462","FA","BRF 1<br/>@WOL 1 F","14.5","1.45","0%","0%","10","1","224","0","0","1","1","0","0","0","5","0","4","1","2","0","1","1","0","0","2","7","0","1","0","0","0","9","2"
"*06mry*","Renato Veiga","CHE","M","463","FA","CHE 1<br/>@NOT 0 F","14.25","2.04","0%","0%","7","1","172","0","0","0","0","0","1","0","6","0","0","1","2","0","0","1","0","0","2","3","1","3","0","0","0","2","90"
"*06cm4*","Chiedozie Ogbene","LUT/IPS","F","464","FA","WHU 3<br/>@IPS 1 F","14","2.8","0%","0%","5","3","235","0","0","0","2","0","0","0","3","0","2","7","0","0","1","1","0","0","3","1","0","1","0","0","0","3","30"
"*03dyl*","Jeffrey Schlupp","CRY","M","465","FA","CRY 1<br/>@LIV 1 F","13.77","1.15","0%","0%","12","0","87","0","0","0","3","0","2","0","0","0","0","0","0","0","1","0","0","0","1","1","0","3","0","0","0","3","2"
"*02lot*","Massimo Luongo","IPS","M","466","FA","WHU 3<br/>@IPS 1 F","13.06","1.19","0%","0%","11","2","188","0","0","0","0","0","0","0","6","0","3","2","0","0","0","2","0","0","2","0","2","2","0","0","0","6","5"
"*06phn*","Jay Robinson","SOU","D","467","FA","ARS 2<br/>@SOU 1 F","13","3.25","0%","0%","4","1","132","0","0","0","3","0","1","0","1","0","6","1","0","0","0","0","0","0","1","6","0","0","0","0","0","2","0"
"*06kyx*","Andy Irving","WHU","M","468","FA","WHU 3<br/>@IPS 1 F","12.82","1.28","0%","0%","10","1","155","0","0","0","1","0","2","0","4","0","3","1","2","0","1","1","1","0","5","1","1","1","0","0","0","4","6"
"*02lpl*","Seamus Coleman","EVE","D","469","FA","EVE 1<br/>@NEW 0 F","12.7","2.54","0%","0%","5","3","212","0","0","0","0","0","1","0","2","0","1","1","1","0","0","1","0","0","7","4","3","2","0","0","0","4","33"
"*06mrz*","Pedro Lima","WOL","D","470","FA","BRF 1<br/>@WOL 1 F","12.6","4.2","1%","0%","3","1","68","0","0","0","2","0","1","0","0","0","0","1","0","0","3","2","0","0","4","1","0","0","0","0","0","2","9"
"*04tsf*","Paris Maghoma","BRF","M","471","FA","BRF 1<br/>@WOL 1 F","12.52","1.56","0%","0%","8","0","105","0","0","0","1","0","0","0","1","0","0","4","0","0","0","1","0","0","1","3","2","1","0","0","0","1","24"
"*03rvw*","Harry Toffolo","NOT","D","473","FA","CHE 1<br/>@NOT 0 F","12.28","3.07","0%","0%","4","1","133","0","0","0","0","0","0","0","3","0","0","0","1","0","0","2","0","1","10","0","2","1","0","0","0","2","8"
"*068a1*","Mykhailo Mudryk","CHE","M","474","FA","CHE 1<br/>@NOT 0 F","12.25","1.75","1%","0%","7","1","140","0","0","0","2","0","1","0","2","0","7","2","0","0","1","0","0","0","1","3","1","2","0","0","0","2","0"
"*06l2r*","Harry Amass","MUN","D","475","FA","AVL 0<br/>@MUN 2 F","11.83","2.37","0%","0%","5","4","344","0","0","0","1","0","0","0","2","0","5","4","0","0","0","2","1","0","9","3","1","7","0","0","0","9","20"
"*06rmv*","Jeremy Monga","LEI","M","476","FA","LEI 0<br/>@BOU 2 F","11.49","1.64","0%","0%","7","0","98","0","0","0","1","0","1","0","1","0","2","5","0","0","0","0","0","0","1","2","2","0","0","0","0","3","44"
"*064op*","Tyler Fredricson","MUN","D","478","FA","AVL 0<br/>@MUN 2 F","10.75","5.38","0%","0%","2","2","165","0","0","0","0","0","0","0","3","0","0","2","0","0","0","1","0","0","11","1","0","7","0","0","0","5","0"
"*05nip*","Dane Scarlett","TOT","F","479","FA","BHA 4<br/>@TOT 1 F","10.5","3.5","0%","0%","3","0","28","0","1","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","10"
"*051kl*","Emiliano Buendia","AVL","M","480","FA","AVL 0<br/>@MUN 2 F","10.34","0.86","30%","+1%","12","0","79","0","0","0","1","0","0","0","6","0","3","6","1","0","0","0","0","0","1","0","1","0","0","0","0","2","8"
"*051kg*","Max Aarons","BOU","D","481","FA","LEI 0<br/>@BOU 2 F","9.81","3.27","0%","0%","3","1","82","0","0","0","0","0","0","0","2","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","61"
"*03r8r*","Ryan Fraser","NEW/SOU","M","482","FA","ARS 2<br/>@SOU 1 F","9.75","1.22","0%","0%","8","4","299","0","0","0","2","0","1","0","2","0","2","4","0","1","0","1","0","0","8","2","1","2","0","0","0","10","0"
"*0620j*","Armel Bella Kotchap","SOU","D","483","FA","ARS 2<br/>@SOU 1 F","9.5","2.38","0%","0%","4","2","327","0","0","0","0","0","0","0","5","0","0","2","0","0","0","5","1","0","21","0","2","6","0","0","0","13","0"
"*037mt*","Harrison Reed","FUL","M","484","FA","MCI 2<br/>@FUL 0 F","9.08","0.76","0%","0%","12","0","82","0","0","0","1","0","2","0","3","0","2","2","2","0","1","1","0","0","2","0","0","1","0","0","0","3","7"
"*06r8v*","Woyo Coulibaly","LEI","D","485","FA","LEI 0<br/>@BOU 2 F","8.5","2.12","0%","0%","4","1","105","0","0","0","0","0","1","0","4","0","0","1","1","0","0","5","2","0","1","0","1","0","0","0","0","6","0"
"*05tqz*","Rico Henry","BRF","D","486","FA","BRF 1<br/>@WOL 1 F","8.25","1.65","2%","0%","5","0","90","0","0","0","0","0","0","0","2","0","2","2","0","0","0","1","0","0","2","0","1","2","0","0","0","3","45"
"*06phw*","Federico Chiesa","LIV","F","487","FA","CRY 1<br/>@LIV 1 F","8","1.33","4%","0%","6","1","98","0","0","0","2","0","2","1","0","0","4","2","0","0","0","0","0","0","1","0","0","0","0","0","0","3","19"
"*05r37*","Jakub Moder","BHA","M","488","FA","BHA 4<br/>@TOT 1 F","7.76","1.94","0%","0%","4","0","7","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","1"
"*05w9q*","Odsonne Edouard","CRY/LEI","F","489","FA","LEI 0<br/>@BOU 2 F","7.75","1.29","0%","0%","6","1","138","0","0","0","2","0","1","0","1","0","3","0","0","0","0","0","0","0","2","1","0","2","0","0","0","3","15"
"*06kyv*","Kosta Nedeljkovic","AVL","D","490","FA","AVL 0<br/>@MUN 2 F","7.5","1.5","86%","0%","5","0","116","0","0","0","0","0","0","0","5","0","0","1","0","0","1","0","0","0","3","1","0","0","0","0","0","4","0"
"*03r8x*","Callum Wilson","NEW","F","491","FA","EVE 1<br/>@NEW 0 F","7.25","0.4","16%","+4%","18","2","340","0","0","0","3","0","1","0","2","0","12","1","1","0","1","1","0","0","1","1","0","2","0","0","0","7","57"
"*0524k*","Rodri","MCI","M","492","FA","MCI 2<br/>@FUL 0 F","7","2.33","76%","-2%","3","1","71","0","0","0","1","0","0","0","1","0","0","2","0","0","0","1","1","0","1","0","0","1","0","0","0","1","0"
"*05w90*","Maxwel Cornet","WHU/SOU","M","493","FA","ARS 2<br/>@SOU 1 F","6.75","3.38","17%","0%","2","1","70","0","0","0","0","0","0","0","5","0","0","1","1","0","0","0","0","0","2","0","0","3","0","0","0","4","0"
"*06ils*","Yunus Konak","BRF","M","494","FA","BRF 1<br/>@WOL 1 F","6.59","0.66","0%","0%","10","0","30","0","0","0","0","0","0","0","4","0","3","1","0","0","0","0","0","0","0","0","0","5","0","0","0","2","8"
